chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Income: PIR above 2,,,,6.47,52.4,1229,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Income: PIR below 2,,,,,26.7,1120,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Race/eth: Hispanic,,,,8.24,33.2,679,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Race/eth: Non-hispanic black,,,,7.67,74.4,544,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Race/eth: Non-hispanic white,,,,,26.7,921,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Race/eth: Other,,,,5.32,19.1,385,2013-2014,0.945432977461447
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Gender: female,,0.053,0.174,0.373,0.507,1412,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Gender: male,,0.064,0.166,0.384,0.695,1419,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Income: Missing,,0.075,0.175,0.332,0.627,290,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Income: PIR above 2,,0.059,0.157,0.387,0.791,1348,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Income: PIR below 2,,0.055,0.173,0.384,0.518,1193,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Race/eth: Hispanic,,0.065,0.163,0.404,0.911,923,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Race/eth: Non-hispanic black,,0.07,0.192,0.419,0.698,601,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Race/eth: Non-hispanic white,,0.055,0.174,0.373,0.499,858,2015-2016,0.440480395619922
"4,4'-Diaminodiphenylmethane (ng/mL)",101-77-9,Race/eth: Other,,,0.147,0.388,1.94,449,2015-2016,0.440480395619922
Heptachlor Epoxide (ng/g),1024-57-3,Gender: female,,,,0.1332,0.2395,1007,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Gender: male,,,,0.1256,0.2062,956,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Income: Missing,,,0.0441,0.1121,0.135,102,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Income: PIR above 2,,,,0.1385,0.2138,940,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Income: PIR below 2,,,,0.1257,0.2395,921,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Race/eth: Hispanic,,,,0.0996,0.1735,525,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Race/eth: Non-hispanic black,,,,0.1101,0.2225,479,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Race/eth: Non-hispanic white,,,0.0392,0.135,0.2395,879,2003-2004,0.779419256240448
Heptachlor Epoxide (ng/g),1024-57-3,Race/eth: Other,,,,0.1281,0.188,80,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Gender: female,,,,19.6,35.8,1007,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Gender: male,,,,18.6,32.6,956,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Income: Missing,,,7.9,14.5,21.1,102,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Income: PIR above 2,,,,19.6,27.2,940,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Income: PIR below 2,,,,18.9,35.8,921,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Race/eth: Hispanic,,,,15.1,23.2,525,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Race/eth: Non-hispanic black,,,,18.6,32.8,479,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Race/eth: Non-hispanic white,,,7.9,20.4,36.6,879,2003-2004,0.779419256240448
Heptachlor Epoxide Lipid Adj (ng/g),1024-57-3,Race/eth: Other,,,,16.7,26.8,80,2003-2004,0.779419256240448
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Gender: female,104.137002598001,99.3,221,627,1380,1494,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Gender: male,126.543742055891,117,262,798,1480,1471,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Income: Missing,124.233134081031,117,274,922,2180,309,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Income: PIR above 2,115.414551456012,113,245,841,1740,1396,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Income: PIR below 2,112.556409572988,105,238,650,1200,1260,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Race/eth: Hispanic,124.641073044974,93.1,185,489,1100,962,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Race/eth: Non-hispanic black,119.099352719505,107,228,882,1470,643,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Race/eth: Non-hispanic white,97.6350326954931,117,268,822,1520,885,2015-2016,0.00539629005059022
"N,N-Dimethylformamide metabolite: N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL)",68-12-2,Race/eth: Other,85.3423877043669,78.7,175,564,1050,475,2015-2016,0.00539629005059022
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Gender: female,,0.38,1.7,14.3,58.2,1284,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Gender: male,,0.53,2.08,17.3,59.1,1285,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Income: Missing,,,2.04,17.3,119,180,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Income: PIR above 2,,0.42,1.55,9.19,56.4,1244,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Income: PIR below 2,,0.52,2.08,19.1,58.2,1145,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Race/eth: Hispanic,,0.65,2.61,14.6,92.8,683,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Race/eth: Non-hispanic black,,0.75,2.31,17.4,48,554,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Race/eth: Non-hispanic white,,0.39,1.61,16.8,53.1,945,2013-2014,0.429349941611522
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",105650-23-5,Race/eth: Other,,,1.5,13.6,47.4,387,2013-2014,0.429349941611522
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Gender: female,,,,,,1247,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Gender: male,,,,,,1262,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Income: Missing,,,,,5.87,179,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Income: PIR above 2,,,,,,1212,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Income: PIR below 2,,,,,,1118,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Race/eth: Hispanic,,,,,,675,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Race/eth: Non-hispanic black,,,,,,539,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Race/eth: Non-hispanic white,,,,,,911,2013-2014,0.992825827022718
N-Nitrosoethylmethylamine (NMEA) (ng/L),10595-95-6,Race/eth: Other,,,,,,384,2013-2014,0.992825827022718
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Gender: female,,,0.057,0.672,5.51,1467,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Gender: male,,,0.071,0.758,4.92,1388,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Income: Missing,,,0.084,0.872,18.4,1191,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Income: PIR above 2,,,0.125,1.06,5.09,376,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Income: PIR below 2,,,0.049,0.451,4.67,1288,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Race/eth: Hispanic,,,0.093,0.997,5.22,679,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Race/eth: Non-hispanic black,,0.054,0.177,2.53,33.8,630,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Race/eth: Non-hispanic white,,,0.048,0.448,4.67,976,2017-2018,0.608056042031524
"Blood 1,4-Dichlorobenzene (ng/mL)",106-46-7,Race/eth: Other,,,0.05,0.517,2.1,570,2017-2018,0.608056042031524
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Gender: female,,,,,,1473,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Gender: male,,,,,,1393,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Income: Missing,,,,,,1197,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Income: PIR above 2,,,,,,378,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Income: PIR below 2,,,,,,1291,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Race/eth: Hispanic,,,,,,682,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Race/eth: Non-hispanic black,,,,,,637,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Race/eth: Non-hispanic white,,,,,,977,2017-2018,1
"Blood 1,2-dibromoethane (ng/mL)",106-93-4,Race/eth: Other,,,,,,570,2017-2018,1
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Gender: female,3.59079039368276,3.26,6.87,33.1,94.1,1516,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Gender: male,4.89440926041286,4.83,8.81,43.4,107,1499,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Income: Missing,4.395357322368,4.54,8.52,50.3,123,311,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Income: PIR above 2,4.83477245492213,4.54,9.99,48.1,125,1433,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Income: PIR below 2,3.82095786392004,3.78,6.93,31.2,70.2,1271,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Race/eth: Hispanic,4.16660386136617,3.81,6.46,21.9,49.4,970,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Race/eth: Non-hispanic black,6.66708800248726,5.94,13.4,52.9,137,656,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Race/eth: Non-hispanic white,3.53058475275329,3.89,7.63,45.5,109,912,2015-2016,0.0570480928689884
"1,3-Butadiene metabolite: N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL)",106-99-0,Race/eth: Other,3.25454955684481,3.51,7.83,28.2,67.7,477,2015-2016,0.0570480928689884
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Gender: female,,,,,,1471,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Gender: male,,,,,,1391,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Income: Missing,,,,,,1196,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Income: PIR above 2,,,,,,378,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Income: PIR below 2,,,,,,1288,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Race/eth: Hispanic,,,,,,682,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Race/eth: Non-hispanic black,,,,,,637,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Race/eth: Non-hispanic white,,,,,,974,2017-2018,0.993011879804333
Blood Methyl Isobutyl Ketone (ng/mL),108-10-1,Race/eth: Other,,,,,,569,2017-2018,0.993011879804333
Melamine (ng/mL),108-78-1,Gender: female,1.435837405469,2.6,4.31,12.02,30.22,256,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Gender: male,1.20353526236216,2.92,4.26,13.32,41.41,228,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Income: Missing,0.967541123373395,1.72,3.98,8.4,16.18,21,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Income: PIR above 2,1.30183216110688,2.78,4.26,12.02,41.41,215,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Income: PIR below 2,1.37728638701628,2.97,4.66,13.32,21.04,248,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Race/eth: Hispanic,1.44525279587597,3.35,5.2,16.18,25.81,131,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Race/eth: Non-hispanic black,0.929065943264757,2.93,4.44,12.02,40.88,129,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Race/eth: Non-hispanic white,0.953180751774717,2.71,4.23,11.48,41.41,206,2003-2004,0.241735537190083
Melamine (ng/mL),108-78-1,Race/eth: Other,2.12595641038286,2.47,3.38,4.64,8.24,18,2003-2004,0.241735537190083
Blood Tetrahydrofuran (ng/mL),109-99-9,Gender: female,,,,,,1460,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Gender: male,,,,,,1383,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Income: Missing,,,,,,1190,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Income: PIR above 2,,,,,,378,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Income: PIR below 2,,,,,,1275,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Race/eth: Hispanic,,,,,,681,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Race/eth: Non-hispanic black,,,,,,635,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Race/eth: Non-hispanic white,,,,,,964,2017-2018,0.995779106577559
Blood Tetrahydrofuran (ng/mL),109-99-9,Race/eth: Other,,,,,,563,2017-2018,0.995779106577559
Blood furan (ng/mL),110-00-9,Gender: female,,,,0.08,0.182,1457,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Gender: male,,,,0.093,0.16,1384,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Income: Missing,,,0.025,0.13,0.195,1180,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Income: PIR above 2,,,,0.079,0.4,377,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Income: PIR below 2,,,,0.049,0.134,1284,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Race/eth: Hispanic,,,,0.037,0.073,682,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Race/eth: Non-hispanic black,,,,0.094,0.188,627,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Race/eth: Non-hispanic white,,,,0.09,0.188,965,2017-2018,0.843013023583245
Blood furan (ng/mL),110-00-9,Race/eth: Other,,,,0.119,0.148,567,2017-2018,0.843013023583245
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Gender: female,,,,,,1516,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Gender: male,,,,,,1499,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Income: Missing,,,,,,311,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Income: PIR above 2,,,,,,1433,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Income: PIR below 2,,,,,,1271,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Race/eth: Hispanic,,,,,,970,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Race/eth: Non-hispanic black,,,,,,656,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Race/eth: Non-hispanic white,,,,,,912,2015-2016,1
Tetrachloroethylene metabolite: N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),127-18-4,Race/eth: Other,,,,,,477,2015-2016,1
Hexachlorobenzene (ng/g),118-74-1,Gender: female,0.0891967345803772,0.0924,0.123,0.19,0.3681,1004,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Gender: male,0.0936523769941603,0.0867,0.1153,0.1788,0.2916,957,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Income: Missing,0.0899446967115395,0.0941,0.1112,0.1664,0.2118,103,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Income: PIR above 2,0.087735672559553,0.0834,0.1186,0.1985,0.392,933,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Income: PIR below 2,0.0936998309893455,0.0923,0.1206,0.1816,0.3067,925,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Race/eth: Hispanic,0.0795528738361901,0.0883,0.1219,0.2497,1.1847,525,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Race/eth: Non-hispanic black,0.0952978008650171,0.0778,0.1035,0.1664,0.2615,477,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Race/eth: Non-hispanic white,0.0927121435657591,0.0921,0.121,0.1816,0.289,879,2003-2004,0.041305456399796
Hexachlorobenzene (ng/g),118-74-1,Race/eth: Other,0.0933317993057708,0.0976,0.1121,0.1487,0.7317,80,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Gender: female,14.4075645257255,15.7,20,29.8,65.6,1004,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Gender: male,15.6246656788009,14.2,18.1,26.9,47.4,957,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Income: Missing,15.1422622343703,15,19.7,26.1,29.8,103,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Income: PIR above 2,14.5629159780088,14.6,19.2,31.3,67.1,933,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Income: PIR below 2,15.2666303134108,15.1,18.9,28.5,51.2,925,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Race/eth: Hispanic,14.241074459036,14.6,19.7,38.1,174,525,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Race/eth: Non-hispanic black,15.6210164565688,14.1,18.3,26.6,40.1,477,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Race/eth: Non-hispanic white,15.0061044241344,15,19.2,28.4,47.4,879,2003-2004,0.041305456399796
Hexachlorobenzene Lipid Adj (ng/g),118-74-1,Race/eth: Other,15.606339003575,16,17.9,26.1,90.8,80,2003-2004,0.041305456399796
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Gender: female,,,,,,1491,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Gender: male,,,,,,1459,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Income: Missing,,,,,,292,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Income: PIR above 2,,,,,,1343,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Income: PIR below 2,,,,,,1315,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Race/eth: Hispanic,,,,,,887,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Race/eth: Non-hispanic black,,,,,,626,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Race/eth: Non-hispanic white,,,,,,974,2015-2016,1
"Blood 1,4-Dioxane (ng/mL)",123-91-1,Race/eth: Other,,,,,,463,2015-2016,1
Urinary Monomethylarsonic acid (ug/L),124-58-3,Gender: female,,,0.59,1.46,2.21,1432,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Gender: male,,,0.73,1.48,2.32,1393,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Income: Missing,,,0.83,1.71,3.17,351,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Income: PIR above 2,,,0.63,1.43,1.97,1194,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Income: PIR below 2,,,0.71,1.42,2.32,1280,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Race/eth: Hispanic,,0.23,0.8,1.65,3.05,676,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Race/eth: Non-hispanic black,,,0.69,1.46,2.86,644,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Race/eth: Non-hispanic white,,,0.58,1.37,1.87,926,2017-2018,0.551504424778761
Urinary Monomethylarsonic acid (ug/L),124-58-3,Race/eth: Other,,0.31,0.84,1.63,2.8,579,2017-2018,0.551504424778761
Blood Tetrachloroethene (ng/mL),127-18-4,Gender: female,,,,0.053,0.528,1400,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Gender: male,,,,0.085,1.11,1324,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Income: Missing,,,,,0.942,1134,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Income: PIR above 2,,,,,0.376,360,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Income: PIR below 2,,,,0.087,1.28,1230,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Race/eth: Hispanic,,,,0.056,0.376,636,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Race/eth: Non-hispanic black,,,,0.074,0.322,607,2017-2018,0.938325991189427
